Bezeichner,Footprint,Stückzahl,Bezeichnung,Anbieter und Referenz,,,Price pre piece in Euro,Total,,Datasheets
J3,JST_XH_B13B-XH-A_1x13_P2.50mm_Vertical,1,JST XHP-13,JST XHP-13,,,1,1,,
J20,PinHeader_1x02_P2.54mm_Vertical,0,Not used,,,,,0,,
"J15,J17,J7,J8","TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",4,35° 4-pole screw terminal ( TE Connectivity 796689-4 ),TE Connectivity 796689-4,,,"1,73","6,92",,
J6,PinSocket_1x19_P2.54mm_Vertical,1,"2,54mm pin socket 1x19 (1x20 cutted) BL 1X20G8 2,54","BL 1X20G8 2,54",,,"0,3","0,3",,
J5,PinSocket_2x19_P2.54mm_Vertical,1,"2,54mm pin socket 2x19 (2x20 cutted) BKL 10120963",BKL 10120963,,,"1,55","1,55",,
"JP3,JP5,JP4,JP6,JP2,JP7,JP1,JP8",PinHeader_1x02_P2.54mm_Vertical,8,1x02 pin header,,,,"0,06","0,48",,
"JP3,JP5,JP4,JP6,JP2,JP7,JP1,JP8","Low profile jumper cap 2,54mm 4,5mm height",8, low profile jumper cap 4.5mm height 149-3-002-F0-XS,149-3-002-F0-XS,,,"0,12","0,96",,
,,,,,,,,0,,
,,,,,,,,0,,
D3,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,597-3305-607F,597-3305-607F,,,"0,405","0,405",,
"D1,D2",D_SMA_Handsoldering,2,60v3ASchottky B360A-E3/61T,B360A-E3/61T,,,"0,332","0,664",,
,,,,,,,,0,,
,,,,,,,,0,,
L1,WE-PD_6033_6050_PLASTIC_BASE54,1,SMD WE-PD 8.2uH 2.3A ,WE-PD 7447786008,,,"1,5","1,5",,
,,,,,,,,0,,
,,,,,,,,0,,
IC5,SOT95P280X110-6N,1,SIMPLE SWITCHER power converter LMR51420XFDDCR,LMR51420XFDDCR,,,"1,31","1,31",,
"IC3,IC4",SOT95P240X110-3N,2,NPN transistor MMBT3904,MMBT3904,,,"0,06","0,12",,
"IC1,IC2",SOT254P916X480-6N,2,H11L1SR2M,H11L1SR2M,,,"0,939","1,878",,
,,,,,,,,0,,
,,,,,,,,0,,
,,,,,,,,0,,
,,,,,,,,0,,
,,,,,,,,0,,
,,,,,,,,0,,
,AZ delivery 38Pin ESP32 NodeMCU WLAN Development Dev Kit C WiFi Bluetooth Board WROOM32 Espressif,1,,,"11,49",Not icnluded,,0,,https://www.ebay.de/itm/144215008485
,Silentstepstick TMC2209,4,,,"10,62",Not icnluded,,0,,
,,,,,,,,0,,
,,,,,,,,0,,
,,,,,,,,0,,
,,,,,,,,0,,
,,,,,,,,0,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,"13,883",,
